weekday,date,study_time,study_decimal
4,7/18/2019,,0.00
5,7/19/2019,,0.00
6,7/20/2019,,0.00
7,7/21/2019,,0.00
1,7/22/2019,,0.00
2,7/23/2019,,0.00
3,7/24/2019,,0.00
4,7/25/2019,,0.00
5,7/26/2019,,0.00
6,7/27/2019,,0.00
7,7/28/2019,,0.00
1,7/29/2019,,0.00
2,7/30/2019,,0.00
3,7/31/2019,,0.00
4,8/1/2019,,0.00
5,8/2/2019,,0.00
6,8/3/2019,,0.00
7,8/4/2019,,0.00
1,8/5/2019,,0.00
2,8/6/2019,,0.00
3,8/7/2019,,0.00
4,8/8/2019,,0.00
5,8/9/2019,,0.00
6,8/10/2019,,0.00
7,8/11/2019,,0.00
1,8/12/2019,,0.00
2,8/13/2019,,0.00
3,8/14/2019,,0.00
4,8/15/2019,,0.00
5,8/16/2019,,0.00
6,8/17/2019,,0.00
7,8/18/2019,,0.00
1,8/19/2019,3:00,3.00
2,8/20/2019,3:43,3.72
3,8/21/2019,3:00,3.00
4,8/22/2019,3:12,3.20
5,8/23/2019,3:03,3.05
6,8/24/2019,0:00,0.00
7,8/25/2019,0:00,0.00
1,8/26/2019,2:48,2.80
2,8/27/2019,9:00,9.00
3,8/28/2019,6:00,6.00
4,8/29/2019,6:00,6.00
5,8/30/2019,5:30,5.50
6,8/31/2019,0:00,0.00
7,9/1/2019,0:00,0.00
1,9/2/2019,0:00,0.00
2,9/3/2019,8:00,8.00
3,9/4/2019,2:30,2.50
4,9/5/2019,8:00,8.00
5,9/6/2019,2:37,2.62
6,9/7/2019,0:00,0.00
7,9/8/2019,6:04,6.07
1,9/9/2019,9:30,9.50
2,9/10/2019,13:19,13.32
3,9/11/2019,2:44,2.73
4,9/12/2019,4:00,4.00
5,9/13/2019,3:51,3.85
6,9/14/2019,0:00,0.00
7,9/15/2019,3:27,3.45
1,9/16/2019,5:00,5.00
2,9/17/2019,8:00,8.00
3,9/18/2019,2:45,2.75
4,9/19/2019,8:00,8.00
5,9/20/2019,2:30,2.50
6,9/21/2019,0:00,0.00
7,9/22/2019,1:10,1.17
1,9/23/2019,8:00,8.00
2,9/24/2019,8:00,8.00
3,9/25/2019,9:15,9.25
4,9/26/2019,6:00,6.00
5,9/27/2019,4:00,4.00
6,9/28/2019,0:00,0.00
7,9/29/2019,1:00,1.00
1,9/30/2019,10:00,10.00
2,10/1/2019,9:15,9.25
3,10/2/2019,10:00,10.00
4,10/3/2019,8:00,8.00
5,10/4/2019,4:00,4.00
6,10/5/2019,0:00,0.00
7,10/6/2019,0:00,0.00
1,10/7/2019,2:35,2.58
2,10/8/2019,6:30,6.50
3,10/9/2019,3:15,3.25
4,10/10/2019,6:00,6.00
5,10/11/2019,4:40,4.67
6,10/12/2019,0:00,0.00
7,10/13/2019,0:00,0.00
1,10/14/2019,4:05,4.08
2,10/15/2019,14:00,14.00
3,10/16/2019,4:45,4.75
4,10/17/2019,9:30,9.50
5,10/18/2019,3:31,3.52
6,10/19/2019,3:38,3.63
7,10/20/2019,7:00,7.00
1,10/21/2019,11:53,11.88
2,10/22/2019,9:58,9.97
3,10/23/2019,12:30,12.50
4,10/24/2019,5:38,5.63
5,10/25/2019,4:30,4.50
6,10/26/2019,0:35,0.58
7,10/27/2019,7:56,7.93
1,10/28/2019,7:00,7.00
2,10/29/2019,14:00,14.00
